F03[C-N],SpMin1_Bh(p),F05[C-N],alvo
10,2.06619545627947,7,6.431798275933005
9,2.0860263639504,7,6.468521082957745
9,2.08573258080707,7,5.388276691992658
9,2.0863418790973,7,5.6439741428068775
9,2.08594024176855,7,6.1249387366083
9,2.0870028368817,8,5.681936665037238
12,2.09330762417941,13,5.882728704344236
12,2.09496805780448,15,6.7447274948966935
11,2.08521245223812,10,5.943095148663527
11,2.08525417543728,10,6.036212172654444
11,2.08506564352015,10,5.300162274132754
11,2.08490830692647,10,5.896196279044043
9,2.08691350922283,7,5.152427340857888
9,2.08794321269317,9,5.079876673709276
15,2.09898601626382,12,5.634512015109101
13,2.09964145368162,9,4.522878745280337
13,2.09963830267315,9,4.672028376376989
9,2.08635950387746,7,6.070581074285707
9,2.08646359850713,7,5.139063379299906
9,2.08645048357548,7,6.337242168318426
9,2.08559786896648,7,6.1938200260161125
9,2.08575397895544,7,5.91721462968355
9,2.08571046051047,7,5.531652669587842
13,2.100315590279,10,4.522878745280337
13,2.1001994768437,11,4.522878745280337
13,2.09968011700452,9,5.023650020996727
15,2.09889675568643,12,5.133122185662502
15,2.09881867871683,12,4.799149501908922
15,2.09885133000887,12,5.350665141287858
15,2.0990711683359,12,5.367542707815276
15,2.09906885319117,13,5.521433504406157
15,2.09921921010724,12,5.681936665037238
11,2.08507729453642,10,5.36251027048749
11,2.08504544582534,10,5.333482019445119
11,2.08546367246724,10,5.281498311132726
11,2.08545128357926,11,5.958607314841775
11,2.08584475145002,10,5.042871802323187
11,2.08526639805938,10,4.9503943874050265
11,2.0854202267248,11,5.568636235841013
11,2.08524944045023,10,5.522878745280337
14,2.09228447187331,15,5.701146923590294
14,2.09242824118356,15,5.235077015350112
14,2.09103003531457,15,6.769551078621726
14,2.0913009199319,15,5.723538195826756
14,2.09122472469306,15,7.221848749616356
14,2.0917472751288,15,5.809668301829708
14,2.09126142626994,15,6.4089353929735005
14,2.09224919650276,15,5.703334809738469
9,2.08706497115682,8,5.671620396561262
9,2.08728002724137,7,4.997402019280091
9,2.08647931227245,7,4.861697301833718
9,2.08651415006922,8,5.85078088734462
9,2.08769753705472,9,6.086186147616283
9,2.08647003622582,7,6.366531544420414
9,2.08656870304183,7,5.4156687756324695
12,2.09305075387095,13,5.966576244513051
12,2.09301384624112,12,5.823908740944319
14,2.09161171450811,15,5.425968732272281
14,2.09324728909685,16,6.356547323513813
9,2.08668915621692,7,5.812479279163537
12,2.093654664768,12,6.251811972993799
12,2.09502005934863,14,5.935542010773082
12,2.09385106569626,13,5.943095148663527
14,2.09246748562478,15,6.022276394711152
12,2.09299346952684,12,6.356547323513813
14,2.09244823997926,15,5.421360790031928
14,2.09422151040059,17,6.920818753952375
14,2.09229262573043,15,5.85078088734462
14,2.09243623032813,15,5.7121982700697735
14,2.09123414170093,15,7.522878745280337
12,2.09470000639501,14,5.785156151952302
13,2.09920015290761,9,4.522878745280337
13,2.0994241493746,9,5.094743951251549
13,2.09927559450978,9,5.13430394008393
9,2.08794145987161,8,5.563837352959244
12,2.09283659612082,12,5.935542010773082
12,2.09297577905092,12,6.346787486224656
12,2.09162207236245,12,4.633017024022149
12,2.09315556474637,13,5.739928612014925
12,2.09329160306068,13,5.790484985457369
12,2.0922263947321,13,6.180456064458132
12,2.09218740119937,13,4.522878745280337
12,2.09312502937637,13,5.554395796726403
12,2.09252115135988,13,5.7447274948966935
12,2.09405637219457,14,4.897223385116559
13,2.09956922025163,9,5.150580586203101
12,2.09188505279968,12,6.045757490560675
12,2.0918104571356,12,5.939302159646388
14,2.093128232789,15,5.563837352959244
14,2.0945533137629,17,6.958607314841775
14,2.09333860058524,16,6.3872161432802645
14,2.09250978605232,16,6.096910013008056
12,2.09215283495727,13,7.397940008672037
12,2.0926470541677,13,5.543633966870957
14,2.09175610488989,15,5.892790030352131
12,2.09395705442434,13,5.795880017344075
13,2.09938233441598,9,5.197226274708024
13,2.09988921613502,10,4.522878745280337
13,2.0998383859168,9,5.769551078621726
13,2.09991777308681,10,4.522878745280337
13,2.09965997635001,10,4.522878745280337
14,2.0922558099583,15,5.935542010773082
14,2.09325706699376,16,6.251811972993799
14,2.09313356134136,15,5.756961951313706
14,2.09456508418728,17,8.0
12,2.09528030953292,15,6.259637310505756
12,2.09231636091756,12,6.050609993355088
12,2.09184591237346,12,5.889410289700751
12,2.09280371723642,12,6.008773924307505
12,2.09218640060216,12,6.309803919971486
12,2.09376289501069,13,5.966576244513051
13,2.09958922659715,9,4.522878745280337
13,2.09963352848223,9,5.100179497572904
14,2.09334837401139,16,7.221848749616356
12,2.09414241529169,14,6.337242168318426
12,2.09336158898645,14,5.609064892896621
12,2.09332913109663,13,5.987162775294828
