F05[C-N],B07[N-N],alvo
7,1,6.431798275933005
7,0,6.468521082957745
7,0,5.388276691992658
7,0,5.6439741428068775
7,0,6.1249387366083
8,0,5.681936665037238
13,0,5.882728704344236
15,0,6.7447274948966935
10,1,5.943095148663527
10,1,6.036212172654444
7,0,6.070581074285707
7,0,5.139063379299906
7,0,6.337242168318426
7,0,5.91721462968355
10,0,4.522878745280337
9,0,5.023650020996727
12,1,4.799149501908922
12,1,5.367542707815276
10,1,5.36251027048749
11,1,5.958607314841775
10,1,4.9503943874050265
11,1,5.568636235841013
15,1,5.235077015350112
15,1,6.769551078621726
15,1,5.809668301829708
15,1,6.4089353929735005
7,0,4.997402019280091
8,0,5.85078088734462
7,0,5.4156687756324695
12,0,5.823908740944319
15,1,5.425968732272281
7,0,5.812479279163537
14,0,5.935542010773082
13,0,5.943095148663527
12,0,6.356547323513813
17,1,6.920818753952375
15,1,5.85078088734462
15,1,7.522878745280337
9,0,4.522878745280337
9,0,5.094743951251549
9,0,5.13430394008393
8,0,5.563837352959244
12,0,6.346787486224656
12,0,4.633017024022149
13,0,5.739928612014925
13,0,5.790484985457369
13,0,4.522878745280337
13,0,5.554395796726403
13,0,5.7447274948966935
14,0,4.897223385116559
9,0,5.150580586203101
12,0,6.045757490560675
12,0,5.939302159646388
15,1,5.563837352959244
17,1,6.958607314841775
16,1,6.3872161432802645
16,1,6.096910013008056
13,0,7.397940008672037
13,0,5.543633966870957
15,1,5.892790030352131
13,0,5.795880017344075
9,0,5.197226274708024
10,0,4.522878745280337
9,0,5.769551078621726
10,0,4.522878745280337
10,0,4.522878745280337
15,1,5.935542010773082
16,1,6.251811972993799
15,1,5.756961951313706
17,1,8.0
15,0,6.259637310505756
12,0,6.050609993355088
12,0,5.889410289700751
12,0,6.008773924307505
12,0,6.309803919971486
13,0,5.966576244513051
9,0,4.522878745280337
9,0,5.100179497572904
16,1,7.221848749616356
14,0,6.337242168318426
14,0,5.609064892896621
13,0,5.987162775294828
